berry,cata_variable,cata_variable_clean,penalty_lift,count
blackberry,appearance_fresh,fresh (A),1.0973520705966973,977
blackberry,appearance_goodcolor,goodcolor (A),1.1402487581044296,1037
blackberry,appearance_goodquality,goodquality (A),1.2638178809644094,859
blackberry,appearance_goodshapre,goodshapre (A),0.9228858785777359,787
blackberry,appearance_misshapen,misshapen (A),-0.707615542690597,447
blackberry,appearance_none,none (A),-0.640917678812416,13
blackberry,appearance_notfresh,notfresh (A),-1.811222467805559,127
blackberry,appearance_unevencolor,unevencolor (A),-0.9981054060195165,163
blackberry,appearane_bruised,bruised (A),-0.8614715332392286,190
blackberry,taste_berry,berry (T),2.2740357760029895,793
blackberry,taste_cinnamon,cinnamon (T),0.3803900196492789,37
blackberry,taste_clove,clove (T),0.06511650023775584,93
blackberry,taste_earthy,earthy (T),-0.4113625609034752,399
blackberry,taste_fermented,fermented (T),-1.6382673449826735,274
blackberry,taste_floral,floral (T),0.9358863853894501,248
blackberry,taste_fruity,fruity (T),1.824365880362297,510
blackberry,taste_grape,grape (T),-0.5559173512571576,156
blackberry,taste_grassy,grassy (T),-0.6325028449387053,314
blackberry,taste_lemon,lemon (T),-0.683476753349094,235
blackberry,taste_minty,minty (T),-0.03448631458115692,49
blackberry,taste_none,none (T),-2.1191348635377416,105
blueberry,appearance_bruised,bruised (A),-0.7427552157986943,84
blueberry,appearance_fresh,fresh (A),0.943313186813187,1248
blueberry,appearance_goodcolor,goodcolor (A),0.7924381360678217,1263
blueberry,appearance_goodquality,goodquality (A),0.9333748382152907,1191
blueberry,appearance_goodshape,goodshape (A),0.7767564951142791,1345
blueberry,appearance_misshapen,misshapen (A),-0.6161637208333195,181
blueberry,appearance_none,none (A),-0.9043297404937256,17
blueberry,appearance_notfresh,notfresh (A),-1.1140176346373938,183
blueberry,appearance_unevencolor,unevencolor (A),-0.7709167863515693,222
blueberry,appearane_creased,creased (A),-1.2075886214442013,50
blueberry,taste_berry,berry (T),1.9966859872338105,1079
blueberry,taste_citrus,citrus (T),-0.03161217013591333,377
blueberry,taste_earthy,earthy (T),-0.8448184655010156,325
blueberry,taste_fermented,fermented (T),-1.8007344266418297,147
blueberry,taste_floral,floral (T),0.29118746918965943,309
blueberry,taste_fruity,fruity (T),1.4108451749747362,761
blueberry,taste_grassy,grassy (T),-0.8164623673595726,335
blueberry,taste_none,none (T),-1.9443621791813754,94
blueberry,taste_peachy,peachy (T),0.5022530484590781,286
blueberry,taste_piney,piney (T),-0.6596198525798531,250
raspberry,appearance_bruised,bruised (A),-0.8196523602529293,291
raspberry,appearance_creased,creased (A),-0.6520857848593753,141
raspberry,appearance_fresh,fresh (A),0.9088235729394682,1225
raspberry,appearance_goodquality,goodquality (A),1.2282080932205472,1069
raspberry,appearance_goodshape,goodshape (A),0.8863574779415062,1306
raspberry,appearance_misshapen,misshapen (A),-0.7902443172155769,354
raspberry,appearance_none,none (A),-0.48790745732255214,28
raspberry,appearance_notfresh,notfresh (A),-1.0023145647034637,423
raspberry,appearance_seedy,seedy (A),-0.3769954168215035,78
raspberry,appearance_unevencolor,unevencolor (A),-0.7901549072087972,758
raspberry,taste_berry,berry (T),2.1681901016608798,1353
raspberry,taste_candy,candy (T),1.2775453185744379,323
raspberry,taste_citrus,citrus (T),0.08105890081874723,523
raspberry,taste_earthy,earthy (T),-0.8360090987781064,435
raspberry,taste_fermented,fermented (T),-1.9478702702702702,150
raspberry,taste_floral,floral (T),0.7101799380025184,372
raspberry,taste_fruity,fruity (T),1.9096487127980266,1029
raspberry,taste_grassy,grassy (T),-1.0995893520126643,371
raspberry,taste_green,green (T),-1.2967141469807055,310
raspberry,taste_none,none (T),-2.107380001740768,103
raspberry,taste_tropical,tropical (T),1.1457143609202758,417
strawberry,appearance_bruised,bruised (A),-0.8432154377588965,717
strawberry,appearance_creased,creased (A),-0.9027175519377542,119
strawberry,appearance_fresh,fresh (A),1.2389788682394896,741
strawberry,appearance_goodquality,goodquality (A),1.2599433291616098,619
strawberry,appearance_goodshape,goodshape (A),1.054471867267048,990
strawberry,appearance_misshapen,misshapen (A),-0.825708240754814,237
strawberry,appearance_none,none (A),-0.5658088483620398,12
strawberry,appearance_notfresh,notfresh (A),-1.1910538275940326,688
strawberry,appearance_seedy,seedy (A),-0.3476270682854361,540
strawberry,appearance_unevencolor,unevencolor (A),-0.6568035972454558,1045
strawberry,taste_berry,berry (T),2.073942526105623,941
strawberry,taste_caramel,caramel (T),1.124432130875645,74
strawberry,taste_cherry,cherry (T),0.8702325405813518,220
strawberry,taste_citrus,citrus (T),-0.25670633524803943,367
strawberry,taste_earthy,earthy (T),-1.0637366711529834,500
strawberry,taste_fermented,fermented (T),-1.6022684621403318,303
strawberry,taste_floral,floral (T),0.7072632872503846,250
strawberry,taste_fruity,fruity (T),1.8722520555239281,782
strawberry,taste_grapey,grapey (T),0.24986228369558727,228
strawberry,taste_grassy,grassy (T),-1.0126385771713,564
strawberry,taste_melon,melon (T),0.24507909199522082,186
strawberry,taste_none,none (T),-1.4712376900863378,121
strawberry,taste_peachy,peachy (T),0.9323484924993526,157
